BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
" J86-19009 FUEL FILTER, DONALDSON",FILTER FUEL FILTER DONALDSON (P/N: J86-19009),FILTER,DONALDSON,,J86-19009,PERLENGKAPAN KAPAL - MESIN
" KAWAT EMAIL HELLENIC UKURAN 3,30 MM","LAIN-LAIN KAWAT EMAIL UKURAN 3 30 MM 3,30 MM HELLENIC",LAIN-LAIN,HELLENIC,"3,30 MM",,PERLENGKAPAN KAPAL - MESIN
 KUNCI T SHOCK 16MM,TOOL KUNCI T SHOCK 16MM 16MM,TOOL,,16MM,,PERLENGKAPAN KAPAL - MESIN
 KUNCI T SHOCK 19MM,TOOL KUNCI T SHOCK 19MM 19MM,TOOL,,19MM,,PERLENGKAPAN KAPAL - MESIN
 METHYLPRIDNISOLONE,LAIN-LAIN METHYLPRIDNISOLONE,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
 P/N: 3085824 UNION MALE CUMMINS KTA 38-M2,PIPE FITTING P N UNION MALE KTA 38 M2 CUMMINS (P/N: 3085824),PIPE FITTING,CUMMINS,,3085824,PERLENGKAPAN KAPAL - MESIN
 PACKING KARET BENANG 2 MM,SEAL PACKING KARET BENANG 2 MM 2 MM,SEAL,,2 MM,,PERLENGKAPAN KAPAL - MESIN
 PACKING TEMBAGA LAPIS KLINGRIT KAWAT UK 178 X 178 X 3,SEAL PACKING TEMBAGA LAPIS KLINGRIT KAWAT UK 178 X 178 X 3 178 X 178 X 3,SEAL,,178 X 178 X 3,,PERLENGKAPAN KAPAL - MESIN
" PIPA PVC 4""","PIPE FITTING PIPA PVC 4 4""",PIPE FITTING,,"4""",,PERLENGKAPAN KAPAL - MESIN
 PLAT U KLIET PONTON,LAIN-LAIN PLAT U KLIET PONTON,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
 RELAY  SCHNEIDER RXM4LB2P7,ELECTRICAL RELAY RXM4LB2P7 SCHNEIDER,ELECTRICAL,SCHNEIDER,,,PERLENGKAPAN KAPAL - MESIN
 RELIEF VALVE YUKEN LBS-50-2-A100-11,VALVE RELIEF VALVE LBS 50 2 A100 11 YUKEN,VALVE,YUKEN,,,PERLENGKAPAN KAPAL - MESIN
 RELIEF VALVE YUKEN LBS-50-2-A100-12,VALVE RELIEF VALVE LBS 50 2 A100 12 YUKEN,VALVE,YUKEN,,,PERLENGKAPAN KAPAL - MESIN
 RING TEMBAGA 19 X 15 X 3 MM,"LAIN-LAIN RING TEMBAGA 19 X 15 X 3 MM 19 X 15 X 3, 3 MM",LAIN-LAIN,,"19 X 15 X 3, 3 MM",,PERLENGKAPAN KAPAL - MESIN
" RODA KARET 4"" ( 2 MATI+ 2 HIDUP)","LAIN-LAIN RODA KARET 4 2 MATI 2 HIDUP 2 M, 4""",LAIN-LAIN,,"2 M, 4""",,PERLENGKAPAN KAPAL - MESIN
 ROKER LEVER HOUSING P/N : 3012238 CUMMINS NTA 855,LAIN-LAIN ROKER LEVER HOUSING P N NTA 855 CUMMINS (P/N: 3012238),LAIN-LAIN,CUMMINS,,3012238,PERLENGKAPAN KAPAL - MESIN
 RUBBER COUPLING-24 PU,PIPE FITTING RUBBER COUPLING 24 PU,PIPE FITTING,,,,PERLENGKAPAN KAPAL - MESIN
" TANG SNAP RING 7"" TUTUP","LAIN-LAIN TANG SNAP RING 7 TUTUP 7""",LAIN-LAIN,,"7""",,PERLENGKAPAN KAPAL - MESIN
" TANG SNAPRING 6"" BUKA","LAIN-LAIN TANG SNAPRING 6 BUKA 6""",LAIN-LAIN,,"6""",,PERLENGKAPAN KAPAL - MESIN
" TANG SNAPRING 7"" BUKA","LAIN-LAIN TANG SNAPRING 7 BUKA 7""",LAIN-LAIN,,"7""",,PERLENGKAPAN KAPAL - MESIN
 TUTUP AIR VENT STAINLESS 165 X 92 X 2MM,"LAIN-LAIN TUTUP AIR VENT STAINLESS 165 X 92 X 2MM 165 X 92, 2MM",LAIN-LAIN,,"165 X 92, 2MM",,PERLENGKAPAN KAPAL - MESIN
 TUTUP VENT STAINLESS 150 X 140 X 2MM,"LAIN-LAIN TUTUP VENT STAINLESS 150 X 140 X 2MM 150 X 140, 2MM",LAIN-LAIN,,"150 X 140, 2MM",,PERLENGKAPAN KAPAL - MESIN
" VENT HEAD FOR WATER BALLAST TANK MODEL FKM-200 , DN 200",LAIN-LAIN VENT HEAD FOR WATER BALLAST TANK MODEL FKM 200 DN 200,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
" WEBBING SLING 10 TON, 10 M RRC",LAIN-LAIN WEBBING SLING 10 TON 10 M RRC 10 M,LAIN-LAIN,,10 M,,PERLENGKAPAN KAPAL - DECK
" WIPER 26""","LAIN-LAIN WIPER 26 26""",LAIN-LAIN,,"26""",,PERLENGKAPAN KAPAL - DECK
¿IMO SYMBOL BREATHING APPARATUS,LAIN-LAIN IMO SYMBOL BREATHING APPARATUS,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
¿IMO SYMBOL MEDICAL LOCKER,LAIN-LAIN IMO SYMBOL MEDICAL LOCKER,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
¿IMO SYMBOL ROCKET PARACHUTE,LAIN-LAIN IMO SYMBOL ROCKET PARACHUTE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
¿IMO SYMBOL SURVIVAL CRAFT PORTABLE RADIO,LAIN-LAIN IMO SYMBOL SURVIVAL CRAFT PORTABLE RADIO,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
"""MAXELL"" ER6C LITHIUM BATTERY 3.6V (W/ CONNECTOR)",ELECTRICAL MAXELL ER6C LITHIUM BATTERY 3 6V W CONNECTOR,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
"(16A2) 3121-019 CRANKSHAFT COMPLETE,SABROE SMC 106S",PUMP 3121 019 CRANKSHAFT COMPLETE SABROE SMC 106S (P/N: (16A2)),PUMP,,,(16A2),PERLENGKAPAN KAPAL - MESIN
"(17-1) 3123-004 CONNECTING ROD COMPLETE,SABROE SMC 106S",ENGINE PART 3123 004 CONNECTING ROD COMPLETE SABROE SMC 106S (P/N: (17-1)),ENGINE PART,,,(17-1),PERLENGKAPAN KAPAL - MESIN
"(17A-1) 2133-003 HALF-SECTION OF BEARING,SABROE SMC 106S",BEARING 2133 003 HALF SECTION OF BEARING SABROE SMC 106S (P/N: (17A-1)),BEARING,,,(17A-1),PERLENGKAPAN KAPAL - MESIN
"(17B-1) 2132-004 BUSHING FOR PISTON PIN,SABROE SMC 106S",ENGINE PART 2132 004 BUSHING FOR PISTON PIN SABROE SMC 106S (P/N: (17B-1)),ENGINE PART,,,(17B-1),PERLENGKAPAN KAPAL - MESIN
"(17C-1) 2111-068 BOLT FOR CONNECTING ROD,SABROE SMC 106S",ENGINE PART 2111 068 BOLT FOR CONNECTING ROD SABROE SMC 106S (P/N: (17C-1)),ENGINE PART,,,(17C-1),PERLENGKAPAN KAPAL - MESIN
"(17D-1) 1433-166 LOCK NUT 3/8,SABROE SMC 106S",FASTENER 1433 166 LOCK NUT 3 8 SABROE SMC 106S (P/N: (17D-1)),FASTENER,,,(17D-1),PERLENGKAPAN KAPAL - MESIN
"(18-1) 3124-002 PISTON WITH PIN AND RINGS S,SABROE SMC 106S",ENGINE PART 3124 002 PISTON WITH PIN AND RINGS S SABROE SMC 106S (P/N: (18-1)),ENGINE PART,,,(18-1),PERLENGKAPAN KAPAL - MESIN
"(18B-1) 3125-130 PISTON RING,SABROE SMC 106S",ENGINE PART 3125 130 PISTON RING SABROE SMC 106S (P/N: (18B-1)),ENGINE PART,,,(18B-1),PERLENGKAPAN KAPAL - MESIN
"(18C-1) 3125-065 OIL SCRAPER RING,SABROE SMC 106S",CHEMICAL 3125 065 OIL SCRAPER RING SABROE SMC 106S (P/N: (18C-1)),CHEMICAL,,,(18C-1),PERLENGKAPAN KAPAL - MESIN
"(19A-1) 3112-065 CYLINDER LINER,SABROE SMC 106S",ENGINE PART 3112 065 CYLINDER LINER SABROE SMC 106S (P/N: (19A-1)),ENGINE PART,,,(19A-1),PERLENGKAPAN KAPAL - MESIN
"(19E-1) 2142-048 TENSION SPRING 342MM,SABROE SMC 106S",LAIN-LAIN 2142 048 TENSION SPRING 342MM SABROE SMC 106S 342MM (P/N: (19E-1)),LAIN-LAIN,,342MM,(19E-1),PERLENGKAPAN KAPAL - MESIN
"(19F-1) 3131-021 RING PLATE FOR SUCTION VALVE,SABROE SMC 106S",VALVE 3131 021 RING PLATE FOR SUCTION VALVE SABROE SMC 106S (P/N: (19F-1)),VALVE,,,(19F-1),PERLENGKAPAN KAPAL - MESIN
"(19G-1) 2141-047 VALVE SPRING,SABROE SMC 106S",VALVE 2141 047 VALVE SPRING SABROE SMC 106S (P/N: (19G-1)),VALVE,,,(19G-1),PERLENGKAPAN KAPAL - MESIN
"(19K-1) 2356-111 GASKET FOR CYLINDER LINER 0.5 MM,SABROE SMC 106S",SEAL 2356 111 GASKET FOR CYLINDER LINER 0 5 MM SABROE SMC 106S 0.5 MM (P/N: (19K-1)),SEAL,,0.5 MM,(19K-1),PERLENGKAPAN KAPAL - MESIN
"(19K-2) 2356-233 GASKET FOR CYLINDER LINER 0.8 MM,SABROE SMC 106S",SEAL 2356 233 GASKET FOR CYLINDER LINER 0 8 MM SABROE SMC 106S 0.8 MM (P/N: (19K-2)),SEAL,,0.8 MM,(19K-2),PERLENGKAPAN KAPAL - MESIN
"(19T-1) 2353-140 GASKET,DIA 163/141 X 0.2 MM,SABROE SMC 106S","SEAL 2353 140 GASKET DIA 163 141 X 0 2 MM SABROE SMC 106S 0.2 MM, 141 X 0.2 (P/N: (19T-1))",SEAL,,"0.2 MM, 141 X 0.2",(19T-1),PERLENGKAPAN KAPAL - MESIN
"(20A-1) 3133-027 DISCHARGE VALVE SEAT,SABROE SMC 106S",VALVE 3133 027 DISCHARGE VALVE SEAT SABROE SMC 106S (P/N: (20A-1)),VALVE,,,(20A-1),PERLENGKAPAN KAPAL - MESIN
"(20C-1) 3131-015 RING PLATE,SABROE SMC 106S",LAIN-LAIN 3131 015 RING PLATE SABROE SMC 106S (P/N: (20C-1)),LAIN-LAIN,,,(20C-1),PERLENGKAPAN KAPAL - MESIN
"(20D-1) 1432-075 SPECIAL SCREW M12X60,SABROE SMC 106S",FASTENER 1432 075 SPECIAL SCREW M12X60 SABROE SMC 106S (P/N: (20D-1)),FASTENER,,,(20D-1),PERLENGKAPAN KAPAL - MESIN
"(20E-1) 1432-075 NUT M12X1.25,SABROE SMC 106S",FASTENER 1432 075 NUT M12X1 25 SABROE SMC 106S (P/N: (20E-1)),FASTENER,,,(20E-1),PERLENGKAPAN KAPAL - MESIN
"(2C-1) 2353-151 GASKET FOR TOP COVER,SABROE SMC 106S",SEAL 2353 151 GASKET FOR TOP COVER SABROE SMC 106S (P/N: (2C-1)),SEAL,,,(2C-1),PERLENGKAPAN KAPAL - MESIN
"(33-1) 3084-539 OIL FILTER COMPLETE (33A,33B,33L,33M),SABROE SMC 106S",FILTER 3084 539 OIL FILTER COMPLETE 33A 33B 33L 33M SABROE SMC 106S 33M (P/N: (33-1)),FILTER,,33M,(33-1),PERLENGKAPAN KAPAL - MESIN
"(34A-1) 3425-082 SUCTION FILTER OPEN COMPLETE,SABROE SMC 106S",FILTER 3425 082 SUCTION FILTER OPEN COMPLETE SABROE SMC 106S (P/N: (34A-1)),FILTER,,,(34A-1),PERLENGKAPAN KAPAL - MESIN
"(3C-1) 2353-151 GASKET FOR SIDE COVER,SABROE SMC 106S",SEAL 2353 151 GASKET FOR SIDE COVER SABROE SMC 106S (P/N: (3C-1)),SEAL,,,(3C-1),PERLENGKAPAN KAPAL - MESIN
"(45D-1) 1373-123 PRESSURE CONTROL KP 5,SABROE SMC 106S",LAIN-LAIN 1373 123 PRESSURE CONTROL KP 5 SABROE SMC 106S (P/N: (45D-1)),LAIN-LAIN,,,(45D-1),PERLENGKAPAN KAPAL - MESIN
"(45E-1) 1373-135 PRESSURE CONTOL KP 15,SABROE SMC 106S",LAIN-LAIN 1373 135 PRESSURE CONTOL KP 15 SABROE SMC 106S (P/N: (45E-1)),LAIN-LAIN,,,(45E-1),PERLENGKAPAN KAPAL - MESIN
"(45F-1) 1373-159 PRESSURE CONTROL MP 55,SABROE SMC 106S",LAIN-LAIN 1373 159 PRESSURE CONTROL MP 55 SABROE SMC 106S (P/N: (45F-1)),LAIN-LAIN,,,(45F-1),PERLENGKAPAN KAPAL - MESIN
"(4B-1) 2353-011 GASKET,SABROE SMC 106S",SEAL 2353 011 GASKET SABROE SMC 106S (P/N: (4B-1)),SEAL,,,(4B-1),PERLENGKAPAN KAPAL - MESIN
"(5C-1) 2132-021 BUSHING,SABROE SMC 106S",LAIN-LAIN 2132 021 BUSHING SABROE SMC 106S (P/N: (5C-1)),LAIN-LAIN,,,(5C-1),PERLENGKAPAN KAPAL - MESIN
"(5D-2) 2353-100 GASKET,SABROE SMC 106S",SEAL 2353 100 GASKET SABROE SMC 106S (P/N: (5D-2)),SEAL,,,(5D-2),PERLENGKAPAN KAPAL - MESIN
"(5D-4) 2132-015 GASKET,SABROE SMC 106S",SEAL 2132 015 GASKET SABROE SMC 106S (P/N: (5D-4)),SEAL,,,(5D-4),PERLENGKAPAN KAPAL - MESIN
"(5D-4) 2353-015 GASKET, SABROE SMC 106S",SEAL 2353 015 GASKET SABROE SMC 106S (P/N: (5D-4)),SEAL,,,(5D-4),PERLENGKAPAN KAPAL - MESIN
"0-1012-S OIL FILTER, SAKURA",FILTER OIL FILTER SAKURA (P/N: 0-1012-S),FILTER,SAKURA,,0-1012-S,PERLENGKAPAN KAPAL - MESIN
0-RING P/N:136600-42040 AE YANMAR 6N18L-EN,LAIN-LAIN 0 RING P N AE 6N18L EN YANMAR (P/N: 136600-42040),LAIN-LAIN,YANMAR,,136600-42040,PERLENGKAPAN KAPAL - MESIN
000 963 11 26 ORING,SEAL 963 11 26 ORING (P/N: 000),SEAL,,,000,PERLENGKAPAN KAPAL - MESIN
000 984 10 01 PISTON RING,ENGINE PART 984 10 01 PISTON RING (P/N: 000),ENGINE PART,,,000,PERLENGKAPAN KAPAL - DECK
"0001-0028-800 SIGHT GLASS,WESTFALIA OSA 20-02-066",LAIN-LAIN SIGHT GLASS OSA 20 02 066 WESTFALIA (P/N: 0001-0028-800),LAIN-LAIN,WESTFALIA,,0001-0028-800,PERLENGKAPAN KAPAL - MESIN
"0001-0028-800 SIGHT GLASS,WESTFALIA OSB 35 01 066",LAIN-LAIN SIGHT GLASS OSB 35 01 066 WESTFALIA (P/N: 0001-0028-800),LAIN-LAIN,WESTFALIA,,0001-0028-800,PERLENGKAPAN KAPAL - MESIN
"0001-0304-600 PRESSURE GAUGE M63X10BAR,WESTFALIA OSA 20-02-066",LAIN-LAIN PRESSURE GAUGE M63X10BAR OSA 20 02 066 WESTFALIA (P/N: 0001-0304-600),LAIN-LAIN,WESTFALIA,,0001-0304-600,PERLENGKAPAN KAPAL - MESIN
"0001-0326-280 THERMOMETER 0-120C,WESTFALIA OSA 20-02-066",LAIN-LAIN THERMOMETER 0 120C OSA 20 02 066 WESTFALIA (P/N: 0001-0326-280),LAIN-LAIN,WESTFALIA,,0001-0326-280,PERLENGKAPAN KAPAL - MESIN
"0001-0576-600 FLOW METER 2500 LH, PURIFIER WESTFALIA OSA 20.01.36.066",FILTER FLOW METER 2500 LH PURIFIER OSA 20 01 36 066 WESTFALIA (P/N: 0001-0576-600),FILTER,WESTFALIA,,0001-0576-600,PERLENGKAPAN KAPAL - MESIN
0003-3403-170 LIFTING TONGS PURIFIER WESTFALIA OSA 7-02-066,FILTER LIFTING TONGS PURIFIER OSA 7 02 066 WESTFALIA (P/N: 0003-3403-170),FILTER,WESTFALIA,,0003-3403-170,PERLENGKAPAN KAPAL - MESIN
"0004-1657-770 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0004-1657-770),SEAL,WESTFALIA,,0004-1657-770,PERLENGKAPAN KAPAL - MESIN
"0004-1660-280 SHAFT SEALING RING,PURIFIER WESTFALIA OSC50-136-066 S/N:9007-984",SEAL SHAFT SEALING RING PURIFIER OSC50 136 066 S N 9007 984 WESTFALIA (P/N: 0004-1660-280),SEAL,WESTFALIA,,0004-1660-280,PERLENGKAPAN KAPAL - MESIN
"0004-1798-077 GASKET 52X90X0.3, WESTFALIA OSC 5-02-066/5",SEAL GASKET 52X90X0 3 OSC 5 02 066 5 52X90X0.3 WESTFALIA (P/N: 0004-1798-077),SEAL,WESTFALIA,52X90X0.3,0004-1798-077,PERLENGKAPAN KAPAL - MESIN
0004-1943-830 SEALING RING PURIFIER WESTFALIA OSA 7-02-066,SEAL SEALING RING PURIFIER OSA 7 02 066 WESTFALIA (P/N: 0004-1943-830),SEAL,WESTFALIA,,0004-1943-830,PERLENGKAPAN KAPAL - MESIN
"0004-2199-750 GASKET,PURIFIER WESTFALIA OSC50-136-066 S/N:9007-984",SEAL GASKET PURIFIER OSC50 136 066 S N 9007 984 WESTFALIA (P/N: 0004-2199-750),SEAL,WESTFALIA,,0004-2199-750,PERLENGKAPAN KAPAL - MESIN
"0004-5316-740 GASKET 80/95X2,WESTFALIA OSA 20-06-006",SEAL GASKET 80 95X2 OSA 20 06 006 95X2 WESTFALIA (P/N: 0004-5316-740),SEAL,WESTFALIA,95X2,0004-5316-740,PERLENGKAPAN KAPAL - MESIN
"0004-5358-700 GASKET,PURIFIER WESTFALIA OSC50-136-066 S/N:9007-984",SEAL GASKET PURIFIER OSC50 136 066 S N 9007 984 WESTFALIA (P/N: 0004-5358-700),SEAL,WESTFALIA,,0004-5358-700,PERLENGKAPAN KAPAL - MESIN
"0004-5457-740 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0004-5457-740),SEAL,WESTFALIA,,0004-5457-740,PERLENGKAPAN KAPAL - MESIN
"000517-03750 O-RING,HATLAPA W-140",SEAL O RING HATLAPA W 140 (P/N: 000517-03750),SEAL,,,000517-03750,PERLENGKAPAN KAPAL - MESIN
"000552-03750 O-RING CYLINDER LINER,HATLAPA W-140",SEAL O RING CYLINDER LINER HATLAPA W 140 (P/N: 000552-03750),SEAL,,,000552-03750,PERLENGKAPAN KAPAL - MESIN
"000584-03751 O-RING,HATLAPA W140",SEAL O RING HATLAPA W140 (P/N: 000584-03751),SEAL,,,000584-03751,PERLENGKAPAN KAPAL - MESIN
"000585-03751 O-RING,HATLAPA W140",SEAL O RING HATLAPA W140 (P/N: 000585-03751),SEAL,,,000585-03751,PERLENGKAPAN KAPAL - MESIN
"0006-4265-160 CYLINDRICAL PRESSURE SPRING,WESTFALIA OSA 20-02-066",LAIN-LAIN CYLINDRICAL PRESSURE SPRING OSA 20 02 066 WESTFALIA (P/N: 0006-4265-160),LAIN-LAIN,WESTFALIA,,0006-4265-160,PERLENGKAPAN KAPAL - MESIN
"0006-4265-160 CYLINDRICAL PRESSURE SPRING,WESTFALIA OSB 35 01 066",LAIN-LAIN CYLINDRICAL PRESSURE SPRING OSB 35 01 066 WESTFALIA (P/N: 0006-4265-160),LAIN-LAIN,WESTFALIA,,0006-4265-160,PERLENGKAPAN KAPAL - MESIN
"0006-4306-060 SET OF NECK BEARING SPRINGS,WESTFALIA OSA 20-02-066",BEARING SET OF NECK BEARING SPRINGS OSA 20 02 066 WESTFALIA (P/N: 0006-4306-060),BEARING,WESTFALIA,,0006-4306-060,PERLENGKAPAN KAPAL - MESIN
"0006-4330-010 CUP SPRING,PURIFIER WESTFALIA OSA 20-02-066",FILTER CUP SPRING PURIFIER OSA 20 02 066 WESTFALIA (P/N: 0006-4330-010),FILTER,WESTFALIA,,0006-4330-010,PERLENGKAPAN KAPAL - MESIN
"0006-4331-010 CUP SPRING,WESTFALIA OSB 35 01 066",LAIN-LAIN CUP SPRING OSB 35 01 066 WESTFALIA (P/N: 0006-4331-010),LAIN-LAIN,WESTFALIA,,0006-4331-010,PERLENGKAPAN KAPAL - MESIN
"0006-4375-060 SET OF NECK BEARING SPRINGS,WESTFALIA OSA 20-02-066",BEARING SET OF NECK BEARING SPRINGS OSA 20 02 066 WESTFALIA (P/N: 0006-4375-060),BEARING,WESTFALIA,,0006-4375-060,PERLENGKAPAN KAPAL - MESIN
"0006-4389-090 SET OF NECK BEARING SPRINGS,WESTFALIA OSB 35 01 066",BEARING SET OF NECK BEARING SPRINGS OSB 35 01 066 WESTFALIA (P/N: 0006-4389-090),BEARING,WESTFALIA,,0006-4389-090,PERLENGKAPAN KAPAL - MESIN
"000600-03751 O-RING CYLINDER LINER,HATLAPA W-140",SEAL O RING CYLINDER LINER HATLAPA W 140 (P/N: 000600-03751),SEAL,,,000600-03751,PERLENGKAPAN KAPAL - MESIN
"0007-1796-550 GASKET DIN 7603-A 27X32, WESTFALIA OSC 5-02-066/5",SEAL GASKET DIN 7603 A 27X32 OSC 5 02 066 5 27X32 WESTFALIA (P/N: 0007-1796-550),SEAL,WESTFALIA,27X32,0007-1796-550,PERLENGKAPAN KAPAL - MESIN
"0007-1850-750 GASKET 291.5/305.5X7,WESTFALIA OSA 20-02-066",SEAL GASKET 291 5 305 5X7 OSA 20 02 066 305.5X7 WESTFALIA (P/N: 0007-1850-750),SEAL,WESTFALIA,305.5X7,0007-1850-750,PERLENGKAPAN KAPAL - MESIN
"0007-1851-750 GASKET 304.2/318.2X7,WESTFALIA OSA 20-02-066",SEAL GASKET 304 2 318 2X7 OSA 20 02 066 318.2X7 WESTFALIA (P/N: 0007-1851-750),SEAL,WESTFALIA,318.2X7,0007-1851-750,PERLENGKAPAN KAPAL - MESIN
"0007-1861-750 GASKET,GEA WESTFALIA OSC 5-02-066/40",SEAL GASKET GEA OSC 5 02 066 40 WESTFALIA (P/N: 0007-1861-750),SEAL,WESTFALIA,,0007-1861-750,PERLENGKAPAN KAPAL - MESIN
"0007-1890-750 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-1890-750),SEAL,WESTFALIA,,0007-1890-750,PERLENGKAPAN KAPAL - MESIN
"0007-1892-750 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-1892-750),SEAL,WESTFALIA,,0007-1892-750,PERLENGKAPAN KAPAL - MESIN
"0007-1893-750 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-1893-750),SEAL,WESTFALIA,,0007-1893-750,PERLENGKAPAN KAPAL - MESIN
